Model,Dataset,Train RSME,Test RSME,Train R2,Test R2,Version
Random Forest,42688-Brazilian_houses,0.0,0.0,1.0,1.0,1.0
Random Forest,42563-house_prices_nominal,0.032581562565016466,0.08900323220235182,0.8611635317802704,-0.16452620689655162,1.0
Random Forest,42729-nyc-taxi-green-dec-2016,0.0,0.0,1.0,1.0,1.0
Random Forest,42726-abalone,0.0,0.0,1.0,1.0,1.0
Random Forest,42225-diamonds,0.04816787685768394,0.420226345483829,0.997679855639023,0.8416844127770458,1.0
Random Forest,42570-Mercedes_Benz_Greener_Manufacturing,0.06010883375532117,0.15066795065281546,0.868265151168965,0.06652327591206997,1.0
Random Forest,42571-Allstate_Claims_Severity,0.001887450036712196,0.0023595869992727096,0.9403631039861927,0.7902944322013646,1.0
Random Forest,531-boston,0.0,0.0,1.0,1.0,1.0
Random Forest,42731-house_sales,0.00238197394702927,0.01532665374630049,0.9996002673919668,0.9848275160710582,1.0
Random Forest,541-socmob,0.0,0.0,1.0,1.0,1.0
Random Forest,546-sensory,0.0,0.0,1.0,1.0,1.0
Random Forest,41540-black_friday,0.0022174696927861415,0.00700518984131068,0.9998163604972449,0.9982425853721847,1.0
Random Forest,41980-SAT11-HAND-runtime-regression,0.10751508151707456,0.30496851821368265,0.8000100113558937,-0.17143015873015877,1.0
Random Forest,41021-Moneyball,0.012459070045390189,0.05601113249669884,0.8469446138211383,0.22194999999999976,1.0
Random Forest,43071-MIP-2016-regression,0.0,0.0,1.0,1.0,1.0
